bin,position,mean,sem,genotype,region,group,n_regions
75,1746.8354430379745,5.387550782705535,0.7325612865089982,FANCJKO,5UTR,antiparallel,343
76,1797.4683544303798,5.219830618312454,0.6780656416102151,FANCJKO,5UTR,antiparallel,343
77,1848.1012658227846,4.984409550939287,0.5875886931243537,FANCJKO,5UTR,antiparallel,343
78,1898.73417721519,4.707060288379677,0.5077732674542438,FANCJKO,5UTR,antiparallel,343
79,1949.3670886075947,4.5156924425617255,0.4737163784277807,FANCJKO,5UTR,antiparallel,343
80,2000,4.409214383464513,0.4838818733184471,FANCJKO,5UTR,antiparallel,343
1,-2000,4.384806763205554,0.36412641812440644,FANCJKO,5UTR,hybrid,728
2,-1949.367088607595,4.480835005782899,0.38826084243727926,FANCJKO,5UTR,hybrid,728
3,-1898.73417721519,4.485887244761863,0.38525149488268945,FANCJKO,5UTR,hybrid,728
4,-1848.1012658227849,4.525683596379809,0.37604341251481155,FANCJKO,5UTR,hybrid,728
5,-1797.4683544303798,4.6098050831689505,0.3855450484327815,FANCJKO,5UTR,hybrid,728
6,-1746.8354430379748,4.778308582843005,0.40514616085752986,FANCJKO,5UTR,hybrid,728
7,-1696.2025316455697,4.958346366637793,0.4268755070617439,FANCJKO,5UTR,hybrid,728
8,-1645.5696202531644,5.0947029891730224,0.45288598530372803,FANCJKO,5UTR,hybrid,728
9,-1594.9367088607596,5.263343837607256,0.4746204357922482,FANCJKO,5UTR,hybrid,728
10,-1544.3037974683543,5.415755825233765,0.4842573865147261,FANCJKO,5UTR,hybrid,728
11,-1493.6708860759495,5.513594832200925,0.46945169413471116,FANCJKO,5UTR,hybrid,728
12,-1443.0379746835442,5.478874233122711,0.45739428936543264,FANCJKO,5UTR,hybrid,728
13,-1392.4050632911392,5.611955768664678,0.49163150764104335,FANCJKO,5UTR,hybrid,728
14,-1341.7721518987341,5.868689978099786,0.5444260723266978,FANCJKO,5UTR,hybrid,728
15,-1291.139240506329,6.073976112214418,0.5870092647913531,FANCJKO,5UTR,hybrid,728
16,-1240.506329113924,6.266474799834765,0.6254160494110758,FANCJKO,5UTR,hybrid,728
17,-1189.873417721519,6.531938005734931,0.653405125284218,FANCJKO,5UTR,hybrid,728
18,-1139.240506329114,6.686516437217211,0.6209286280381523,FANCJKO,5UTR,hybrid,728
19,-1088.607594936709,6.742250524797501,0.5576376157895365,FANCJKO,5UTR,hybrid,728
20,-1037.9746835443038,6.935609955845517,0.5222650850070225,FANCJKO,5UTR,hybrid,728
21,-987.3417721518988,7.293549555397077,0.5719996540977065,FANCJKO,5UTR,hybrid,728
22,-936.7088607594937,7.694313066957634,0.6703161472906106,FANCJKO,5UTR,hybrid,728
23,-886.0759493670887,8.18435107601322,0.7374227757539715,FANCJKO,5UTR,hybrid,728
24,-835.4430379746836,8.80916955367222,0.8031125408493106,FANCJKO,5UTR,hybrid,728
25,-784.8101265822784,9.383437322097603,0.7828737224269534,FANCJKO,5UTR,hybrid,728
26,-734.1772151898733,9.879555016094512,0.7669727269642025,FANCJKO,5UTR,hybrid,728
27,-683.5443037974683,10.461195058233136,0.7732838335871459,FANCJKO,5UTR,hybrid,728
28,-632.9113924050632,11.077045243993783,0.804401786119916,FANCJKO,5UTR,hybrid,728
