genotype,stratify_by,signal,quartile,position,mean,sem,n
WT,G4_quartile,S9.6 (R-loop),Q1,1272.7272727272725,0.5845793847603921,0.024825147983820232,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1313.1313131313127,0.5757409143854083,0.024539403085765778,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1353.5353535353534,0.562104868654481,0.024424814696530486,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1393.9393939393935,0.558790981065767,0.0241260366543278,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1434.3434343434342,0.5607636118694814,0.024315197104757724,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1474.7474747474744,0.5457077870148851,0.023791779796589214,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1515.151515151515,0.5497822150500157,0.023605578271904126,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1555.5555555555552,0.5653511753825977,0.024110815189167085,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1595.9595959595958,0.5655806641324767,0.023948451403446702,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1636.363636363636,0.5617338644141289,0.023613477136982162,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1676.7676767676767,0.5429570510196909,0.02298378053604521,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1717.1717171717169,0.5393378386997474,0.023321551691668954,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1757.5757575757575,0.5543029179175641,0.02418473283266961,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1797.9797979797977,0.57374937950760585,0.0248160142540274,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1838.3838383838383,0.5935825488569324,0.025320041248075027,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1878.7878787878785,0.5901298627660179,0.025070656030310463,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1919.1919191919187,0.5968841166535074,0.02467474120468925,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1959.5959595959594,0.6123948127788146,0.025533954264764576,6117
WT,G4_quartile,S9.6 (R-loop),Q1,2000,0.6112052069617981,0.02616693711800628,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-2000,0.6841707715957854,0.028954785896752006,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1959.5959595959596,0.6897330203358821,0.029901616984776922,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1919.1919191919192,0.6738976322513185,0.029526965034871507,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1878.7878787878788,0.6801334924675984,0.02937258317135816,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1838.3838383838383,0.676715983051786,0.028931365144378125,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1797.979797979798,0.6764861720449298,0.028226054944125643,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1757.5757575757575,0.6757707915774515,0.027952071510339984,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1717.1717171717173,0.6913036354951111,0.028300583953776152,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1676.7676767676767,0.6962371782480941,0.028058524256014915,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1636.3636363636365,0.6733000076287476,0.028067632646685405,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1595.9595959595958,0.6703527803137919,0.02912674731083685,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1555.5555555555557,0.6779551952131422,0.029656414556157848,6117
WT,G4_quartile,S9.6 (R-loop),Q2,-1515.1515151515152,0.6840699032410699,0.029021648407671005,6117
