ko,dz_class,genotype,bin,position,mean,sem,n
DHX36KO,stable,WT,23,-886.0759493670887,3.7900064530895614,0.13617873658806867,2951
DHX36KO,stable,WT,24,-835.4430379746836,3.79732423176836,0.13644798831934826,2951
DHX36KO,stable,WT,25,-784.8101265822784,3.8390705235599865,0.13547306963553135,2951
DHX36KO,stable,WT,26,-734.1772151898733,3.8818404068349515,0.13856288667519276,2951
DHX36KO,stable,WT,27,-683.5443037974683,4.0034445871205895,0.15110880076909883,2951
DHX36KO,stable,WT,28,-632.9113924050632,4.109464412001881,0.15970851327252528,2951
DHX36KO,stable,WT,29,-582.2784810126582,4.194736041120523,0.16171470796899592,2951
DHX36KO,stable,WT,30,-531.6455696202531,4.227150076721316,0.16085538110078829,2951
DHX36KO,stable,WT,31,-481.0126582278481,4.264933388090182,0.16357980989620205,2951
DHX36KO,stable,WT,32,-430.37974683544303,4.308280817811723,0.17289959121147067,2951
DHX36KO,stable,WT,33,-379.746835443038,4.3511792721536136,0.18248959955729932,2951
DHX36KO,stable,WT,34,-329.11392405063293,4.412211840754645,0.1931961416403083,2951
DHX36KO,stable,WT,35,-278.4810126582279,4.530460148048606,0.2121792686041744,2951
DHX36KO,stable,WT,36,-227.84810126582283,4.619159001868067,0.22707555282134198,2951
DHX36KO,stable,WT,37,-177.21518987341778,4.695976653793875,0.23588080348825782,2951
DHX36KO,stable,WT,38,-126.58227848101274,4.7408966593528,0.23869845498213318,2951
DHX36KO,stable,WT,39,-75.94936708860769,4.6992034396346405,0.22535711092149918,2951
DHX36KO,stable,WT,40,-25.316455696202638,4.576100682370423,0.19910035553881447,2951
DHX36KO,stable,WT,41,25.31645569620241,4.509812936617212,0.1782532846265499,2951
DHX36KO,stable,WT,42,75.94936708860769,4.448948150776099,0.16174649256467824,2951
DHX36KO,stable,WT,43,126.58227848101251,4.380253877781158,0.15154918815536858,2951
DHX36KO,stable,WT,44,177.21518987341778,4.361747702034695,0.14952896211448788,2951
DHX36KO,stable,WT,45,227.8481012658226,4.379106346197106,0.15758263298694966,2951
DHX36KO,stable,WT,46,278.4810126582279,4.379376999853049,0.1661027130567265,2951
DHX36KO,stable,WT,47,329.1139240506327,4.427015655528458,0.18009773793340458,2951
DHX36KO,stable,WT,48,379.746835443038,4.472879242350877,0.18690425583078502,2951
DHX36KO,stable,WT,49,430.37974683544326,4.454305303722643,0.18091537634035018,2951
DHX36KO,stable,WT,50,481.0126582278481,4.389616342422505,0.17674228887148782,2951
DHX36KO,stable,WT,51,531.6455696202534,4.3641186324297525,0.18485502730652661,2951
DHX36KO,stable,WT,52,582.2784810126582,4.374223394919341,0.1953154088960054,2951
DHX36KO,stable,WT,53,632.9113924050635,4.370858224119613,0.20198245577993623,2951
DHX36KO,stable,WT,54,683.5443037974683,4.3705773319826955,0.19946442838550438,2951
DHX36KO,stable,WT,55,734.1772151898736,4.401272303420083,0.202057348085086,2951
DHX36KO,stable,WT,56,784.8101265822784,4.4423303969461445,0.20848327217116966,2951
DHX36KO,stable,WT,57,835.4430379746836,4.453027338426584,0.21351444429631738,2951
DHX36KO,stable,WT,58,886.0759493670885,4.400014314367638,0.20942486437864588,2951
DHX36KO,stable,WT,59,936.7088607594937,4.331970305646407,0.20042345404409864,2951
DHX36KO,stable,WT,60,987.3417721518986,4.262699956355843,0.19222785198611822,2951
DHX36KO,stable,WT,61,1037.9746835443038,4.1762442516992415,0.17866139923516453,2951
DHX36KO,stable,WT,62,1088.6075949367087,4.1159910208045405,0.17125976392116038,2951
DHX36KO,stable,WT,63,1139.240506329114,4.0461940034688375,0.16389945502366363,2951
DHX36KO,stable,WT,64,1189.8734177215188,4.017277927354515,0.1570060472426634,2951
DHX36KO,stable,WT,65,1240.506329113924,3.9693579433105173,0.15128620642469537,2951
DHX36KO,stable,WT,66,1291.1392405063293,3.8847016905954592,0.14082536229262657,2951
DHX36KO,stable,WT,67,1341.7721518987341,3.8427741361044094,0.13272252155194916,2951
DHX36KO,stable,WT,68,1392.4050632911394,3.868912420198498,0.13525068301602153,2951
DHX36KO,stable,WT,69,1443.0379746835442,3.888179811528614,0.13743023318361788,2951
DHX36KO,stable,WT,70,1493.6708860759495,3.8918283042651334,0.13861448642119903,2951
DHX36KO,stable,WT,71,1544.3037974683543,3.8964566763317494,0.14004713818846531,2951
DHX36KO,stable,WT,72,1594.9367088607596,3.9203128583676583,0.1414544430124832,2951
DHX36KO,stable,WT,73,1645.5696202531644,3.9286199037810308,0.1422606871406627,2951
DHX36KO,stable,WT,74,1696.2025316455697,3.901421390025478,0.14145875358173743,2951
DHX36KO,stable,WT,75,1746.8354430379745,3.909950038916268,0.14191724844867823,2951
DHX36KO,stable,WT,76,1797.4683544303798,3.914305953519783,0.13943862067100418,2951
DHX36KO,stable,WT,77,1848.1012658227846,3.920716549714891,0.13678238134143905,2951
DHX36KO,stable,WT,78,1898.73417721519,3.9205242931216664,0.14060967561675397,2951
DHX36KO,stable,WT,79,1949.3670886075947,3.9763194375359703,0.15882737121478027,2951
DHX36KO,stable,WT,80,2000,4.004056185450942,0.1740062148284839,2951
DHX36KO,lost,WT,1,-2000,3.7007151243672975,0.6890310680750077,116
DHX36KO,lost,WT,2,-1949.367088607595,3.8166888374432753,0.8497763412273487,116
DHX36KO,lost,WT,3,-1898.73417721519,3.9893573327448175,0.9632579464447127,116
DHX36KO,lost,WT,4,-1848.1012658227849,4.10124930549627,0.9421801283808551,116
DHX36KO,lost,WT,5,-1797.4683544303798,4.114584247682286,0.8037786713827397,116
DHX36KO,lost,WT,6,-1746.8354430379748,3.8981788871822687,0.6853286723432618,116
DHX36KO,lost,WT,7,-1696.2025316455697,3.6559132863392776,0.5597706840228525,116
DHX36KO,lost,WT,8,-1645.5696202531644,3.642266610134607,0.5638882202825518,116
DHX36KO,lost,WT,9,-1594.9367088607596,3.660257546901703,0.5619963477466572,116
DHX36KO,lost,WT,10,-1544.3037974683543,3.5179528730833667,0.491767993434248,116
DHX36KO,lost,WT,11,-1493.6708860759495,3.3740779275455695,0.46012752757209735,116
DHX36KO,lost,WT,12,-1443.0379746835442,3.2031519763634124,0.40000575938692495,116
DHX36KO,lost,WT,13,-1392.4050632911392,3.19879548802458,0.3721539992338441,116
DHX36KO,lost,WT,14,-1341.7721518987341,3.1561510492741376,0.35552148122790767,116
DHX36KO,lost,WT,15,-1291.139240506329,3.0259427976608277,0.3332811551452326,116
DHX36KO,lost,WT,16,-1240.506329113924,2.9175346241737232,0.322288679543652,116
DHX36KO,lost,WT,17,-1189.873417721519,2.850589001692575,0.3288243443251062,116
DHX36KO,lost,WT,18,-1139.240506329114,2.8652215528967737,0.3530080934247186,116
DHX36KO,lost,WT,19,-1088.607594936709,2.9107354978103746,0.3918092334981821,116
