motif_id,tf,motif_gc,frac_unclassified,frac_classified,frac_background,log2OR_vs_classified,p_vs_classified,log2OR_vs_background,p_vs_background,q_vs_classified,q_vs_background
MA1555.1,RXRB(var.2),0.58,0.005889281507656066,0.010482921083627797,0.010070671378091874,-0.8354103063262817,3.0709367651937994e-6,-0.7770939001377184,1.770096573169583e-5,5.102269102081458e-6,2.9279202740233014e-5
MA0767.1,GCM2,0.609,0.0028268551236749115,0.004888103651354535,0.004888103651354535,-0.7867766317499408,0.0027763950972024467,-0.7867766317499408,0.0027763950972024467,0.003738611448579468,0.0038786343492753284
MA0609.2,CREM,0.533,0.004711425206124852,0.006831566548881037,0.00812720848056537,-0.5363456498449861,0.011975103631913812,-0.7877849177706737,9.861997433196243e-5,0.015455756590670769,1.542358508420209e-4
MA0006.1,Ahr::Arnt,0.715,0.020023557126030624,0.03250883392226148,0.0342756183745583,-0.7168176879073725,6.385335873602201e-13,-0.7957381795750571,5.873819668497836e-16,1.4885814255335128e-12,1.5762120405393474e-15
MA0671.1,NFIX,0.571,0.011484098939929329,0.016666666666666666,0.019846878680800942,-0.5437635255332388,5.870804128025082e-5,-0.799975553698846,5.752887872304695e-10,8.93799975409533e-5,1.2332340094078456e-9
MA0591.1,Bach1::Mafk,0.548,0.01784452296819788,0.028268551236749116,0.030977620730270907,-0.6782332139832751,1.6640438554001355e-10,-0.8141578678678695,4.087494808723395e-15,3.4387166651759027e-10,1.062463807424269e-14
MA0107.1,RELA,0.567,0.011425206124852767,0.02037691401648999,0.020023557126030624,-0.8462081532690808,4.3241037471925534e-11,-0.8204873184323441,1.9783412763876106e-10,9.216518272587556e-11,4.327984141305447e-10
MA1540.1,NR5A1,0.55,0.022497055359246173,0.04128386336866902,0.039693757361601884,-0.9029798376040952,4.5685902707829094e-23,-0.8439644094238274,5.478859514085675e-20,1.5283266107641481e-22,1.7693632889644646e-19
MA1556.1,RXRG(var.2),0.591,0.007067137809187279,0.013486454652532391,0.012720848056537103,-0.9388180410232264,4.707278566916589e-9,-0.8535717431947123,1.58337554404849e-7,8.981150411559528e-9,2.990375078127022e-7
MA0626.1,Npas2,0.589,0.006007067137809187,0.010541813898704358,0.010836277974087162,-0.8149565917816055,4.659358069160443e-6,-0.8550229631056633,1.2895880486497162e-6,7.605866782480724e-6,2.3015135987863357e-6
MA1535.1,NR2C1,0.58,0.011366313309776208,0.017550058892815076,0.02067137809187279,-0.6344492609221823,2.088430901966003e-6,-0.874833730886793,8.335739879831716e-12,3.508940209159095e-6,1.9493611129637806e-11
MA1641.1,MYF5,0.555,0.012367491166077738,0.020200235571260307,0.022732626619552415,-0.7179769020389857,1.3033020725038112e-8,-0.8918687222841383,3.2472919445561496e-13,2.4245968730370154e-8,7.968683521838446e-13
MA0058.3,MAX,0.605,0.004593639575971731,0.009187279151943463,0.008539458186101296,-1.0020711145448855,3.462243830007429e-7,-0.8959846725517621,7.976948293815397e-6,6.105990300675041e-7,1.3432964846921638e-5
MA0156.2,FEV,0.541,0.0038869257950530037,0.00800942285041225,0.007243816254416961,-1.0434576313107706,8.81372331562436e-7,-0.8979547294848388,3.8945704578868875e-5,1.5080361452880212e-6,6.275053048776712e-5
MA0513.1,SMAD2::SMAD3::SMAD4,0.556,0.026560659599528857,0.04228504122497055,0.04870435806831567,-0.6937561973151566,1.8582975512767827e-15,-0.9072296200827719,4.8499619385549985e-27,4.747568401549589e-15,2.0793514977942696e-26
MA1483.1,ELF2,0.546,0.005182567726737338,0.010954063604240283,0.009717314487632508,-1.083820280494122,2.7506468655601392e-9,-0.9096730345676018,1.3558427558239204e-6,5.302280521208951e-9,2.4139825676483165e-6
MA0259.1,ARNT::HIF1A,0.657,0.002591283863368669,0.0037102473498233216,0.004888103651354535,-0.5145706336432416,0.08087413104462644,-0.9112968135981109,6.690517101348542e-4,0.09715314292961566,9.883417341794082e-4
MA1601.1,ZNF75D,0.529,0.02591283863368669,0.05730270906949352,0.04782096584216725,-1.1912937959912733,1.845868001210455e-48,-0.9160427981424877,5.260293726884648e-27,1.1870840766405167e-47,2.2296472274181518e-26
MA1485.1,FERD3L,0.593,0.01342756183745583,0.02061248527679623,0.025206124852767964,-0.6277651418212233,3.5036160823774487e-7,-0.9244283158365737,2.660857758724609e-15,6.164381126069757e-7,7.0390066950658105e-15
MA0595.1,SREBF1,0.569,0.009363957597173145,0.02226148409893993,0.0176678445229682,-1.2656427364068352,6.735379674909367e-22,-0.9259523913060806,3.353608149447771e-11,2.1657729471906845e-21,7.674207605791525e-11
MA1619.1,Ptf1a(var.2),0.563,0.012603062426383982,0.02073027090694935,0.023851590106007067,-0.7285691342010014,5.386171211819137e-9,-0.9352534351572596,7.985644349283662e-15,1.0250213581676215e-8,2.0401680426594562e-14
MA1539.1,NR2F6(var.3),0.531,0.007420494699646643,0.010011778563015312,0.014134275618374558,-0.43440554802923187,0.011937163577062277,-0.9366907200262089,2.1549026804370992e-9,0.01543349051731102,4.46543722112799e-9
