bin,position,mean,sem,ko,signal_geno,topology,direction,n_promoters,column
42,75.94936708860769,6.153739309657132,0.6215243179671823,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
43,126.58227848101251,6.139992673048223,0.6223381367195256,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
44,177.21518987341778,6.098903023068792,0.6175964589163879,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
45,227.8481012658226,5.864405872501818,0.5954958986321022,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
46,278.4810126582279,5.590951529674404,0.562297858058775,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
47,329.1139240506327,5.46551101544247,0.5671480739341996,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
48,379.746835443038,5.287090392319938,0.5561950521403184,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
49,430.37974683544326,5.151954383637645,0.5371655345209259,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
50,481.0126582278481,5.064681522875073,0.5415536441205553,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
51,531.6455696202534,4.956175016596241,0.5326515363444286,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
52,582.2784810126582,4.932889894450327,0.5194544482907444,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
53,632.9113924050635,4.816252461833136,0.4960063278812773,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
54,683.5443037974683,4.594017803369969,0.4484411583757019,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
55,734.1772151898736,4.459711932852716,0.42798474900434824,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
56,784.8101265822784,4.323751155422597,0.40100167371900763,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
57,835.4430379746836,4.27018904620927,0.395448850242213,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
58,886.0759493670885,4.160528203307992,0.37748034132250635,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
59,936.7088607594937,4.114014513977815,0.3674418988328017,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
60,987.3417721518986,4.155673620420189,0.39977246572630837,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
61,1037.9746835443038,4.344394834122904,0.5283430244290828,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
62,1088.6075949367087,4.313909662593447,0.6271939046214249,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
63,1139.240506329114,4.3192914244680125,0.6860446199456163,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
64,1189.8734177215188,4.375919223492689,0.6881244075576851,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
65,1240.506329113924,4.446515669439754,0.6929664169745912,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
66,1291.1392405063293,4.550380069475101,0.6504219999177712,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
67,1341.7721518987341,4.51630092753829,0.563929024917955,DHX36KO,WT,parallel,up,303,WT (DHX36KO DEGs)
