bin,position,mean,sem,genotype,feature,n_regions
80,2000,2.419495031334706,0.05132962411339989,WT,intron1,16000
1,-2000,2.161788154627162,0.03714723753226719,WT,enhancer,16000
2,-1949.367088607595,2.150126650273113,0.03641021277698727,WT,enhancer,16000
3,-1898.73417721519,2.1381046396165986,0.035804372642697216,WT,enhancer,16000
4,-1848.1012658227849,2.121053745791098,0.034479094008652005,WT,enhancer,16000
5,-1797.4683544303798,2.0958239169555406,0.033301637192875704,WT,enhancer,16000
6,-1746.8354430379748,2.0775347473120993,0.03267343952466769,WT,enhancer,16000
7,-1696.2025316455697,2.0727939961821784,0.03275950445093647,WT,enhancer,16000
8,-1645.5696202531644,2.098939332481839,0.034824594856595115,WT,enhancer,16000
9,-1594.9367088607596,2.1143363064790823,0.03778113928476056,WT,enhancer,16000
10,-1544.3037974683543,2.1270292113198446,0.040500300861233816,WT,enhancer,16000
11,-1493.6708860759495,2.1462946125168556,0.04291158984369551,WT,enhancer,16000
12,-1443.0379746835442,2.169303037870454,0.04474058652437258,WT,enhancer,16000
13,-1392.4050632911392,2.1892815062506505,0.045597893776561906,WT,enhancer,16000
14,-1341.7721518987341,2.1966064552620406,0.044552885766436075,WT,enhancer,16000
15,-1291.139240506329,2.1933961412496434,0.04247593575517078,WT,enhancer,16000
16,-1240.506329113924,2.1932068271964718,0.04061207074765189,WT,enhancer,16000
17,-1189.873417721519,2.184441775271699,0.0390198076026055,WT,enhancer,16000
18,-1139.240506329114,2.1848386895099643,0.03887554267569524,WT,enhancer,16000
19,-1088.607594936709,2.1780355441466646,0.03933720375337224,WT,enhancer,16000
20,-1037.9746835443038,2.1815576540907613,0.03893115636939206,WT,enhancer,16000
21,-987.3417721518988,2.1784394508757425,0.03761214190263083,WT,enhancer,16000
22,-936.7088607594937,2.1686116282974255,0.03679500020951335,WT,enhancer,16000
23,-886.0759493670887,2.1732306574696554,0.037042924712816644,WT,enhancer,16000
24,-835.4430379746836,2.1907231398131,0.03837195284924942,WT,enhancer,16000
25,-784.8101265822784,2.2034385324852583,0.039534048673405424,WT,enhancer,16000
26,-734.1772151898733,2.2129376439816397,0.039461673235686515,WT,enhancer,16000
27,-683.5443037974683,2.2091144638083193,0.038732112159526384,WT,enhancer,16000
28,-632.9113924050632,2.213394196892226,0.03833646401288818,WT,enhancer,16000
29,-582.2784810126582,2.2281431185307734,0.03777913513088556,WT,enhancer,16000
30,-531.6455696202531,2.2447326326699284,0.038340020309116304,WT,enhancer,16000
31,-481.0126582278481,2.254060126920627,0.0391392896646283,WT,enhancer,16000
32,-430.37974683544303,2.2602803737565944,0.03952506091556231,WT,enhancer,16000
33,-379.746835443038,2.2711503481144213,0.04033832799466551,WT,enhancer,16000
34,-329.11392405063293,2.283838534273996,0.041186919829770255,WT,enhancer,16000
35,-278.4810126582279,2.29143007480154,0.042097933588321104,WT,enhancer,16000
36,-227.84810126582283,2.289273387349181,0.04266123718209683,WT,enhancer,16000
37,-177.21518987341778,2.2908812228437485,0.043638948204797544,WT,enhancer,16000
38,-126.58227848101274,2.307095334891379,0.044395471888653136,WT,enhancer,16000
39,-75.94936708860769,2.319393287977905,0.04420410086433823,WT,enhancer,16000
40,-25.316455696202638,2.3247469238235663,0.0443793434789426,WT,enhancer,16000
41,25.31645569620241,2.307852270313004,0.04383175340331143,WT,enhancer,16000
42,75.94936708860769,2.290947258554853,0.045083740482700106,WT,enhancer,16000
43,126.58227848101251,2.2770584037088355,0.045252130770575896,WT,enhancer,16000
44,177.21518987341778,2.2630481528947057,0.045708121596907215,WT,enhancer,16000
45,227.8481012658226,2.250839618587617,0.04620629504998883,WT,enhancer,16000
46,278.4810126582279,2.243567697561329,0.047259420953368915,WT,enhancer,16000
47,329.1139240506327,2.2418031462414825,0.04737443509033879,WT,enhancer,16000
48,379.746835443038,2.235824886621204,0.047006053772477054,WT,enhancer,16000
49,430.37974683544326,2.233881362048527,0.047838948284624025,WT,enhancer,16000
50,481.0126582278481,2.236892196124298,0.04894281806161492,WT,enhancer,16000
51,531.6455696202534,2.246251457387159,0.04807025243513727,WT,enhancer,16000
52,582.2784810126582,2.253472562736743,0.047563512657608296,WT,enhancer,16000
53,632.9113924050635,2.266319103576026,0.048339296765584155,WT,enhancer,16000
54,683.5443037974683,2.2814014682300163,0.04977063731722531,WT,enhancer,16000
55,734.1772151898736,2.2967065900321013,0.05101942881851076,WT,enhancer,16000
56,784.8101265822784,2.29847108246146,0.050573355362416104,WT,enhancer,16000
57,835.4430379746836,2.2782692953030073,0.04882672748973463,WT,enhancer,16000
58,886.0759493670885,2.254804994021735,0.0470560790774864,WT,enhancer,16000
59,936.7088607594937,2.260076875170512,0.045921355021409566,WT,enhancer,16000
60,987.3417721518986,2.255286913994844,0.045036913054494726,WT,enhancer,16000
61,1037.9746835443038,2.2509088444792784,0.04363506839068674,WT,enhancer,16000
62,1088.6075949367087,2.2378852962307345,0.042073044157442716,WT,enhancer,16000
63,1139.240506329114,2.229778118070569,0.04125765027488231,WT,enhancer,16000
64,1189.8734177215188,2.2261499543352237,0.04090528065566632,WT,enhancer,16000
65,1240.506329113924,2.231414030887974,0.04104941650177832,WT,enhancer,16000
66,1291.1392405063293,2.248424079836,0.04240486688779944,WT,enhancer,16000
