bin,position,mean,sem,unit,ko,signal_geno,topology,direction,n_5utr,column
31,-481.0126582278481,10.44662728856835,0.8810153507881352,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
32,-430.37974683544303,10.85151717779951,0.9815149956498693,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
33,-379.746835443038,12.146942623982,1.3988048236685353,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
34,-329.11392405063293,13.460472164447937,1.7494135474068557,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
35,-278.4810126582279,14.208277897151808,1.9187096170225046,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
36,-227.84810126582283,14.617407806130746,1.9181163186534536,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
37,-177.21518987341778,14.846023813337087,1.9178805910050853,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
38,-126.58227848101274,14.531255245341194,1.8804499865137334,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
39,-75.94936708860769,13.803608117252589,1.7621191023941005,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
40,-25.316455696202638,13.052162019469671,1.5469604933679746,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
41,25.31645569620241,12.778236687477264,1.4190739931061787,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
42,75.94936708860769,12.071536335506373,1.2819740564666813,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
43,126.58227848101251,11.773388907934228,1.2351060551539523,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
44,177.21518987341778,11.278154569127494,1.125516999932884,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
45,227.8481012658226,10.496725071051882,1.011093635291623,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
46,278.4810126582279,9.758899614591565,0.9642873736646856,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
47,329.1139240506327,9.186312518823478,0.9260616703477448,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
48,379.746835443038,8.585469253994525,0.8175187278792555,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
