bin,position,mean,sem,genotype,group
26,-734.1772151898733,1.576369307969232,0.014665864138168902,DHX36KO,none
27,-683.5443037974683,1.5712681924987055,0.014650261119900919,DHX36KO,none
28,-632.9113924050632,1.568525998509409,0.0145331428778425,DHX36KO,none
29,-582.2784810126582,1.5677619268628753,0.014526324880145044,DHX36KO,none
30,-531.6455696202531,1.559143985090579,0.01451447512859219,DHX36KO,none
31,-481.0126582278481,1.566255451859891,0.014565096605841403,DHX36KO,none
32,-430.37974683544303,1.5713309695694262,0.014649294601843858,DHX36KO,none
33,-379.746835443038,1.5748858767003437,0.014707281750860744,DHX36KO,none
34,-329.11392405063293,1.576612842557947,0.014573425561413335,DHX36KO,none
35,-278.4810126582279,1.573105305688232,0.014537738511847363,DHX36KO,none
36,-227.84810126582283,1.5731741096907526,0.014523068144762894,DHX36KO,none
37,-177.21518987341778,1.580466538456098,0.014579528501996513,DHX36KO,none
38,-126.58227848101274,1.5823218929683573,0.014624401303199053,DHX36KO,none
39,-75.94936708860769,1.5896084504451904,0.014750187114715008,DHX36KO,none
40,-25.316455696202638,1.5845998073925545,0.014615986158661961,DHX36KO,none
41,25.31645569620241,1.5832229360954146,0.014532616689200983,DHX36KO,none
42,75.94936708860769,1.5782466419703265,0.014498794607451161,DHX36KO,none
43,126.58227848101251,1.5770005437497312,0.014565045080124819,DHX36KO,none
44,177.21518987341778,1.5807978646244873,0.014572387950036863,DHX36KO,none
45,227.8481012658226,1.5817925803126458,0.014624254425863454,DHX36KO,none
46,278.4810126582279,1.5835551374718635,0.014825913731296042,DHX36KO,none
47,329.1139240506327,1.5718267412906501,0.014824539255616219,DHX36KO,none
48,379.746835443038,1.566207629715688,0.014790409700496785,DHX36KO,none
49,430.37974683544326,1.5621883071789715,0.01469503172611437,DHX36KO,none
50,481.0126582278481,1.5668061166310105,0.014672613066599838,DHX36KO,none
51,531.6455696202534,1.5688988811213445,0.014665997303875355,DHX36KO,none
52,582.2784810126582,1.5799856418626372,0.014715970636799774,DHX36KO,none
53,632.9113924050635,1.5745249258626477,0.014600657074847121,DHX36KO,none
54,683.5443037974683,1.5713959862196407,0.014483696263063551,DHX36KO,none
55,734.1772151898736,1.5702324196656599,0.014393378006075765,DHX36KO,none
56,784.8101265822784,1.5709947482195292,0.014423538876913309,DHX36KO,none
57,835.4430379746836,1.5720572628979717,0.01449618160829949,DHX36KO,none
58,886.0759493670885,1.5740583697641084,0.014581242811240373,DHX36KO,none
59,936.7088607594937,1.5778823517632588,0.014668136805310181,DHX36KO,none
60,987.3417721518986,1.5771718350057569,0.014625297697453007,DHX36KO,none
61,1037.9746835443038,1.5745861289951244,0.014566588937553344,DHX36KO,none
62,1088.6075949367087,1.5782923715809547,0.014622861024046285,DHX36KO,none
63,1139.240506329114,1.572523052230889,0.014559880750764248,DHX36KO,none
64,1189.8734177215188,1.5705884905895477,0.014468020151838068,DHX36KO,none
65,1240.506329113924,1.5811311275456674,0.01449219140107604,DHX36KO,none
66,1291.1392405063293,1.5853893923836293,0.014526724193113027,DHX36KO,none
67,1341.7721518987341,1.5935787344494294,0.014603500809955932,DHX36KO,none
68,1392.4050632911394,1.5994882892540028,0.014773479147853024,DHX36KO,none
69,1443.0379746835442,1.5914333372886007,0.014836530870759814,DHX36KO,none
70,1493.6708860759495,1.598206679419355,0.014921799994670016,DHX36KO,none
71,1544.3037974683543,1.5968700321565554,0.014812361544644291,DHX36KO,none
